vehicleID,routeNum,destination,latitude,longitude,bearing,weekday,date,time
15021,1,Poplar Grove (Orange St),40.76938,-111.8697,270,3,04/11/24,06:00:36
15003,1,Poplar Grove (Orange St),40.77364,-111.9331,179.6,3,04/11/24,06:00:36
15002,1,University Hospital,40.75853,-111.9442,243.1,3,04/11/24,06:00:36
15001,1,University Hospital,40.76924,-111.8907,100.8,3,04/11/24,06:00:36
13003,1,University Hospital,40.77126,-111.9392,358.5,3,04/11/24,06:00:36
23113,2,University Hospital,40.76369,-111.9095,165.6,3,04/11/24,06:00:37
23109,2,University Hospital,40.76496,-111.8616,89.8,3,04/11/24,06:00:37
23025,200,North Temple Station via Capitol Hill,40.66015,-111.895,212.9,3,04/11/24,06:00:38
23020,200,Murray Central Station,40.69284,-111.9162,0,3,04/11/24,06:00:38
23016,200,North Temple Station via Capitol Hill,40.65966,-111.8953,209.7,3,04/11/24,06:00:38
23009,200,Murray Central Station,40.75222,-111.8884,180,3,04/11/24,06:00:38
23008,200,North Temple Station via Capitol Hill,40.75513,-111.8881,359.7,3,04/11/24,06:00:38
23004,200,Murray Central Station,40.77388,-111.9049,180.1,3,04/11/24,06:00:38
24009,205,Murray North Station,40.76075,-111.9381,270,3,04/11/24,06:00:38
24008,205,Poplar Grove (400 S + Redwood Rd),40.67434,-111.8772,89.2,3,04/11/24,06:00:38
24005,205,Murray North Station,40.7676,-111.9391,358.6,3,04/11/24,06:00:38
18012,209,Fashion Place West Station,40.76401,-111.9097,173.3,3,04/11/24,06:00:39
18004,209,Salt Lake Central Station,40.63565,-111.8659,0.4,3,04/11/24,06:00:39
17026,209,Salt Lake Central Station,40.76042,-111.8653,1.6,3,04/11/24,06:00:39
13010,209,Fashion Place West Station,40.77739,-111.8793,273,3,04/11/24,06:00:39
13002,209,Fashion Place West Station,40.68633,-111.8655,180.2,3,04/11/24,06:00:39
13001,209,Salt Lake Central Station,40.63366,-111.8981,195.3,3,04/11/24,06:00:39
20010,21,U of U (Union Building),40.75781,-111.8355,23.8,3,04/11/24,06:00:39
19009,21,Central Pointe Station,40.72551,-111.8327,268.9,3,04/11/24,06:00:39
17046,21,U of U (Union Building),40.69315,-111.9151,0,3,04/11/24,06:00:39
12031,21,U of U (Union Building),40.72421,-111.897,185.4,3,04/11/24,06:00:39
12004,21,Central Pointe Station,40.76457,-111.8451,157.8,3,04/11/24,06:00:39
18013,213,U of U (Union Building),40.69308,-111.915,0,3,04/11/24,06:00:39
17053,213,Midvale Center Station,40.69953,-111.9111,5.6,3,04/11/24,06:00:39
17022,213,U of U (Union Building),40.61034,-111.8931,348.3,3,04/11/24,06:00:39
17017,220,Salt Lake Central Station,40.71256,-111.8553,344.4,3,04/11/24,06:00:40
15015,220,Sandy (9400 S P+R),40.624,-111.8344,181.6,3,04/11/24,06:00:40
15009,220,Salt Lake Central Station,40.6035,-111.8331,180.8,3,04/11/24,06:00:40
15006,220,Sandy (9400 S P+R),40.74983,-111.8651,264.4,3,04/11/24,06:00:40
13036,220,Sandy (9400 S P+R),40.76181,-111.9104,0,3,04/11/24,06:00:40
13034,220,Salt Lake Central Station,40.76509,-111.8637,269.8,3,04/11/24,06:00:40
20007,223,Holladay (Cottonwood Corporate Center),40.77409,-111.905,179.7,3,04/11/24,06:00:40
19010,223,North Temple Station,40.71284,-111.8421,351.4,3,04/11/24,06:00:40
24003,4,Olympus Cove P+R,40.75839,-111.8417,92.9,3,04/11/24,06:00:41
24001,4,Poplar Grove (400 S + Redwood Rd),40.76066,-111.8716,73,3,04/11/24,06:00:41
18024,4,Poplar Grove (400 S + Redwood Rd),40.76938,-111.8981,269.8,3,04/11/24,06:00:41
13043,4,Poplar Grove (400 S + Redwood Rd),40.71825,-111.8743,84.8,3,04/11/24,06:00:41
13038,4,Olympus Cove P+R,40.76057,-111.9381,90.1,3,04/11/24,06:00:41
21086,455,U of U (Research Park),40.98742,-111.9055,307.5,3,04/11/24,06:00:41
21083,455,Ogden via Weber State,40.76068,-111.8469,317.7,3,04/11/24,06:00:41
21078,455,U of U (Research Park),41.1657,-111.9431,148.5,3,04/11/24,06:00:41
21073,455,U of U (Research Park),40.76085,-111.85,77.8,3,04/11/24,06:00:41
17034,455,Ogden via Weber State,40.73111,-111.8183,332.8,3,04/11/24,06:00:41
17014,455,Ogden via Weber State,40.84155,-111.9057,51.7,3,04/11/24,06:00:41
14009,455,U of U (Research Park),40.85899,-111.889,226.4,3,04/11/24,06:00:41
14008,455,Ogden via Weber State,40.92147,-111.8834,78.3,3,04/11/24,06:00:41
14004,455,U of U (Research Park),41.23516,-111.9787,180.6,3,04/11/24,06:00:41
19001,470,Ogden,41.19704,-111.9793,5.8,3,04/11/24,06:00:42
17011,470,Downtown Salt Lake City,41.06159,-111.9676,145.2,3,04/11/24,06:00:42
17004,470,Ogden,40.87223,-111.8877,30.9,3,04/11/24,06:00:42
17001,470,Ogden,41.02497,-111.9287,318.9,3,04/11/24,06:00:42
14016,470,Downtown Salt Lake City,40.78725,-111.8998,179.3,3,04/11/24,06:00:42
14010,470,Downtown Salt Lake City,41.15985,-112.0261,179.9,3,04/11/24,06:00:42
14005,470,Downtown Salt Lake City,41.2361,-111.9787,180.6,3,04/11/24,06:00:42
07001,470,Ogden,40.76137,-111.8881,1.2,3,04/11/24,06:00:42
24011,509,Salt Lake Central Station,40.72874,-111.9168,0.3,3,04/11/24,06:00:42
18152,509,West Valley Central Station,40.72598,-111.921,272.1,3,04/11/24,06:00:42
18151,509,Salt Lake Central Station,40.69295,-111.9707,269.6,3,04/11/24,06:00:42
18023,509,West Valley Central Station,40.76152,-111.9105,0,3,04/11/24,06:00:42
